Plot,Trat,Cultivar,Plant,Z1,S1,Z2,S2,Z3,S3,Z4,S4,Z5,S5
B8,A1C3,C,9,1,3,0,5,5,20,,100,,
B8,A1C3,C,10,0,3,0,7,10,70,,100,,
B8,A1C3,C,11,0,5,3,10,7,35,,,,
B8,A1C3,C,12,1,3,0,3,5,70,20,95,,100
B8,A1C3,C,13,0,5,1,15,3,10,,100,,
B8,A1C3,C,14,2,5,0,0,15,20,,,,
B8,A1C3,C,15,1,4,2,10,,100,,,,
B8,A1C3,A,16,7,10,3,10,,100,,,,
B8,A1C3,A,17,3,7,3,7,30,60,,100,,
B8,A1C3,A,18,0,3,3,7,2,7,,100,,
B8,A1C3,A,19,3,3,5,10,30,75,,100,,
B8,A1C3,A,20,3,7,0,15,20,70,,100,,
B8,A1C3,A,21,3,12,7,15,40,80,,100,,
B8,A1C3,A,22,5,7,3,7,20,60,,100,,
B8,A1C3,A,23,2,5,10,25,,100,,,,
B8,A1C3,A,24,2,15,5,25,25,80,,100,,
B8,A1C3,A,25,5,7,3,20,25,60,,100,,
B8,A1C3,A,26,3,5,5,10,10,20,,,,
B8,A1C3,A,27,2,5,20,40,,100,,,,
B8,A1C3,A,28,3,5,2,4,4,10,,100,,
B8,A1C3,A,29,3,10,5,10,5,25,,100,,
B8,A1C3,A,30,3,10,3,10,,100,,,,
B9,C1,C,1,0,7,3,7,7,15,,100,,
B9,C1,C,2,0,5,0,12,3,15,,100,,
B9,C1,C,3,0,7,3,15,4,20,,100,,
B9,C1,C,4,0,7,4,12,4,25,,100,,
B9,C1,C,5,0,5,0,5,5,10,,100,,
B9,C1,C,6,0,5,3,15,7,50,,100,,
B9,C1,C,7,2,5,3,5,3,50,,100,,
B9,C1,C,8,0,7,2,15,5,15,,100,,
B9,C1,C,9,2,12,2,4,3,10,,100,,
B9,C1,C,10,2,10,2,10,,100,,,,
B9,C1,C,11,3,5,0,5,7,40,,100,,
B9,C1,C,12,2,5,3,10,4,10,,100,,
B9,C1,C,13,1,2,2,7,15,20,,100,,
B9,C1,C,14,2,5,1,5,4,15,,100,,
B9,C1,C,15,3,4,4,7,,100,,,,
C7,A3C1,C,1,0,3,2,12,,100,,,,
C7,A3C1,C,2,0,10,4,20,4,15,7,98,,
C7,A3C1,C,3,2,5,0,7,,100,,,,
C7,A3C1,C,4,0,2,3,40,2,7,,100,,
C7,A3C1,C,5,0,5,2,15,3,10,,100,,
C7,A3C1,C,6,0,4,0,12,,100,,,,
C7,A3C1,C,7,0,10,2,12,0,50,,,,
C7,A3C1,C,8,0,2,0,10,0,5,,100,,
C7,A3C1,C,9,0,5,0,20,,100,,,,
C7,A3C1,C,10,0,7,0,5,,100,,,,
C7,A3C1,C,11,0,12,0,15,,100,,,,
C7,A3C1,C,12,0,5,3,15,3,20,,100,,
C7,A3C1,C,13,0,2,1,5,3,30,,100,,
C7,A3C1,C,14,0,10,0,20,0,20,,100,,
C7,A3C1,C,15,0,3,0,7,0,5,15,90,,
C7,A3C1,A,16,0,5,2,5,4,50,,100,,
C7,A3C1,A,17,3,4,5,7,5,60,,100,,
C7,A3C1,A,18,3,7,5,30,,100,,,,
C7,A3C1,A,19,4,5,10,60,12,95,,100,,
C7,A3C1,A,20,1,3,3,5,10,70,,100,,
C7,A3C1,A,21,4,7,5,30,5,70,,100,,
C7,A3C1,A,22,2,5,5,40,,100,,,,
C7,A3C1,A,23,1,5,3,5,5,70,,100,,
C7,A3C1,A,24,2,5,5,40,,100,,,,
C7,A3C1,A,25,0,3,3,20,5,95,,,,
C7,A3C1,A,26,3,7,3,15,10,75,,100,,
C7,A3C1,A,27,1,3,3,5,5,95,,,,
C7,A3C1,A,28,2,5,5,60,,100,,,,
C7,A3C1,A,29,2,3,3,5,5,40,,100,,
C7,A3C1,A,30,5,7,7,70,,100,,,,
C8,A1,A,1,4,5,12,20,30,40,,100,,
C8,A1,A,2,2,3,5,7,,100,,,,
C8,A1,A,3,2,5,3,10,60,90,,100,,
C8,A1,A,4,3,5,5,25,,100,,,,
C8,A1,A,5,0,2,4,8,15,80,,100,,
C8,A1,A,6,2,3,5,5,3,5,,100,,
C8,A1,A,7,3,5,7,15,10,15,,100,,
C8,A1,A,8,2,5,5,10,7,50,,100,,
C8,A1,A,9,4,12,12,50,,100,,,,
C8,A1,A,10,2,5,3,10,15,80,,100,,
C8,A1,A,11,3,5,10,15,20,40,,100,,
C8,A1,A,12,4,5,3,12,,100,,,,
C8,A1,A,13,2,5,2,5,5,25,,100,,
C8,A1,A,14,7,15,12,30,,100,,,,
C8,A1,A,15,3,5,15,35,15,50,,100,,
C9,A1C3,C,1,0,10,0,7,6,25,,100,,
C9,A1C3,C,2,3,7,2,15,0,4,,100,,
C9,A1C3,C,3,0,5,0,4,2,4,,100,,
C9,A1C3,C,4,0,3,0,5,,100,,,,
